OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
31,WE,WE11,11,Duck Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,60,34.4,455869.965045488,7640351600.64295
32,WE,WE12,12,Porcupine Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,54.9,33,3113751.1109643,64930345004.6793
33,WE,WE13,13,Riding Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,62.7,34.5,881252.508201221,12719088389.5762
34,WE,WE14,14,Agassiz Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,72.8,51,867744.527581795,14356163624.0506
35,WE,WE15,15,Dauphin,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,70.3,43,36573.4742573834,31193378.0761099
36,WE,WE16,16,Swan River,WE1,WE North Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,63.3,35.7,28561.5494063332,18201079.6202205
37,WE,WE31,31,Asessippi,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,68.6,37.4,663337.945497758,16292334531.5899
38,WE,WE32,32,Little Saskatchewan,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,72.9,44.1,764639.541452885,18389339031.4445
39,WE,WE33,33,Turtle Mountain,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,70.2,46.2,526286.875619252,12618223347.028
40,WE,WE34,34,Souris River,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,68.5,38.9,743999.801179262,16375362450.6761
41,WE,WE35,35,Whitemud,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,70,43.5,502581.582151818,9619238352.02268
42,WE,WE36,36,Spruce Woods,WE3,WE South Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,66.8,38.8,798588.80385177,17200413451.6732
43,WE,WEBR,BR,Brandon,WE2,WE Brandon Zone,02,Prairie Mountain Health,2021/06/28 00:00:00+00,73.7,42.1,95261.1828150866,191042678.43279
