OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
41,WE,WE35,35,Whitemud,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,55.5,6.2,3.51920410793844,0.496525363362333
42,WE,WE36,36,Spruce Woods,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,58,5.7,6.03569857698466,0.901928514918765
43,WE,WEBR,BR,Brandon,WE2,WE Brandon Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,63.3,9.8,0.732379968612019,0.00994152390688303
44,SO,SO11,11,Seven Regions,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,48.7,14.4,3.11346532723652,0.311429649650239
45,SO,SO12,12,North Norfolk,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,35.4,4.3,1.64994306072968,0.145788076296327
46,SO,SO13,13,Rural Portage,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,46.8,10.3,2.84991480504076,0.262546220651559
47,SO,SO14,14,Cartier/SFX,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,57.3,6.5,1.88597010485865,0.109581326053454
48,SO,SO15,15,City of Portage la Prairie,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,54.4,8.9,0.324968213188029,0.00330775967574093
49,SO,SO21,21,Grey,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,51.9,5.4,1.71942474936373,0.120955809849806
50,SO,SO22,22,Carman,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,51,6.4,1.72266696773278,0.114728357065405
51,SO,SO23,23,MacDonald,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,63.7,5.1,1.74407880110657,0.144524829815185
52,SO,SO24,24,Morris,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,43.1,5.5,1.71844963081358,0.129911937193691
53,SO,SO25,25,St Pierre/DeSalaberry,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,53.7,8.4,1.34517883143315,0.0835053764579606
54,SO,SO26,26,Red River South,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,48,7.7,2.12902056546463,0.182260708618742
55,SO,SO31,31,Lorne/Louise/Pembina,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,55.1,8.8,3.01115450396958,0.382038675304733
56,SO,SO32,32,Stanley,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,10.4,0.7,1.8538699287659,0.103501608047149
57,SO,SO33,33,Altona,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,33.5,5.6,1.61462842958453,0.119406848726587
58,SO,SO34,34,Morden,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,45.4,4.6,0.299785213349968,0.00206183846020589
